date ,open, highest ,lowest, close ,amout, vol ,str07
20150902,3027.68,3194.48,3019.09,3160.17,42326235546,438170153,51380508
20150907,3149.38,3217.58,3066.3,3080.42,30268971418,296468114,20906731
20150908,3054.44,3174.71,3011.12,3170.45,26391037542,255415465,3671040
20150909,3182.55,3256.74,3165.7,3243.09,41299142246,375327978,3081229
20150910,3190.55,3243.28,3178.9,3197.89,29958107955,273261759,58196160
20150911,3189.48,3223.76,3163.45,3200.23,25276946842,224557822,23986876
20150914,3221.17,3229.48,3049.23,3114.8,37357679411,346631158,64356458
20150915,3043.8,3081.7,2983.92,3005.17,24390459392,249194445,66191440
20150916,2998.04,3182.93,2983.54,3152.26,28199226573,277524524,2229282
20150917,3131.98,3204.7,3085.31,3086.06,33739328717,317602892,61931657
20150918,3100.28,3122.05,3070.34,3097.92,21844243251,209175398,15139660
20150921,3072.09,3159.88,3060.86,3156.54,25979668070,239897354,4195325
20150922,3161.32,3213.48,3152.48,3185.62,30507132518,274786154,20906737
20150923,3137.72,3164.04,3104.74,3115.89,25756003533,236322670,56885462
20150924,3126.49,3151.16,3109.69,3142.69,23136904806,212887723,10027933
20150925,3130.85,3149.95,3063,3092.35,24897111654,236263871,62849158
20150928,3085.57,3103.07,3042.31,3100.76,16642239693,156727530,14287709
20150929,3055.22,3068.3,3021.16,3038.14,16968659763,163222673,60293286
20150930,3052.84,3073.3,3039.74,3052.78,15656919040,146642449,20382430
20151008,3156.07,3172.28,3133.13,3143.36,25883033600,234276050,2556955
20151009,3146.64,3192.72,3137.79,3183.15,25637910938,234851445,10355598
20151012,3193.54,3318.71,3188.41,3287.66,43554101658,386294715,2425867
20151013,3262.16,3298.63,3253.25,3293.23,33480608973,297153133,22676165
20151014,3280.02,3307.32,3256.25,3262.44,33027751936,295077739,55378148
20151015,3255.03,3338.3,3254.39,3338.07,36256556646,316283851,2491406
20151016,3358.3,3393.02,3334.85,3391.35,45944782848,395460575,11862888
20151019,3401.63,3423.4,3355.57,3386.7,45330363187,378112183,43057547
20151020,3377.55,3425.52,3357.86,3425.33,38358250291,318973758,11404135
20151021,3428.56,3447.26,3265.44,3320.68,51850923213,458455428,64553044
20151022,3292.29,3373.78,3282.99,3368.74,37545200845,323739341,3867635
20151023,3377.55,3422.02,3360.22,3412.43,42526307123,347372854,6226888
20151026,3448.65,3457.52,3402,3429.58,45394250957,365560853,23069375
20151027,3409.14,3441.57,3332.62,3434.34,40888723046,328172768,36176383
20151028,3417.01,3439.76,3367.23,3375.2,36165618893,293523284,58130609
20151029,3387.77,3411.71,3362.51,3387.32,29450842931,235676026,16909084
20151030,3380.28,3417.2,3346.59,3382.56,30726678118,243595118,40960436
20151102,3337.58,3391.06,3322.31,3325.08,28601932186,230951129,54657262
20151103,3330.32,3346.27,3302.18,3316.7,24436056064,192897428,35258897
20151104,3325.62,3459.65,3325.62,3459.64,42610438963,339078730,1180726
20151105,3459.22,3585.66,3455.53,3522.82,67867462861,553254947,30081644
20151106,3514.44,3596.38,3508.83,3590.03,54328220058,429167033,3146762
20151109,3588.5,3673.76,3588.5,3646.88,63618403533,503016682,21365482
20151110,3617.4,3669.53,3607.89,3640.49,56005512397,429746576,36766213
20151111,3635,3654.88,3605.62,3650.25,46782221517,360972651,20251392
20151112,3656.82,3659.31,3603.23,3632.9,48283261338,361717600,41615822
20151113,3600.76,3632.56,3564.81,3580.84,46866864538,345870933,53608714
20151116,3522.46,3607.61,3519.42,3606.96,36942184448,276187057,15926104
20151117,3629.98,3678.27,3598.07,3604.8,52152034918,383575468,44237210
20151118,3605.06,3617.07,3558.7,3568.47,39233876787,297580734,57934048
20151119,3573.78,3618.21,3561.04,3617.06,32844260966,247915576,4326421
20151120,3620.79,3640.53,3607.92,3630.5,41391089254,310801972,25821880
20151123,3630.87,3654.75,3598.87,3610.31,41414823117,315997474,48562547
20151124,3602.89,3616.48,3563.1,3616.11,32775851213,248810524,31588966
20151125,3614.07,3648.37,3607.52,3647.93,38080292454,273024857,14025591
20151126,3659.57,3668.38,3629.86,3635.55,42624742195,306761582,45547929
20151127,3616.54,3621.9,3412.43,3436.3,46431125504,354287525,69861431
20151130,3433.86,3470.37,3327.81,3445.4,38750365286,304197903,38208020
20151201,3442.44,3483.41,3417.54,3456.31,33025674445,252390755,25756355
20151202,3450.28,3538.85,3427.66,3536.91,36918303130,301491480,34996805
20151203,3525.73,3591.73,3517.23,3584.82,33885909811,281111255,8586198
20151204,3558.15,3568.97,3510.41,3524.99,31976682291,251736411,49611115
20151207,3529.81,3543.95,3506.62,3536.93,28056158208,208302579,21562112
20151208,3518.65,3518.65,3466.79,3470.07,29782173286,224367310,61800635
20151209,3462.58,3495.7,3454.88,3472.44,26785487258,195698845,42861006
20151210,3469.81,3503.65,3446.27,3455.5,27949970227,200427517,44171698
20151211,3441.6,3455.55,3410.92,3434.58,24507642675,182908878,48038273
20151214,3403.51,3521.78,3399.28,3520.67,27921353933,215374620,8848367
20151215,3518.13,3529.96,3496.85,3510.35,27627493786,200471341,27329220
20151216,3522.09,3538.69,3506.29,3516.19,26528864666,193482310,31392366
20151217,3533.63,3583.41,3533.63,3580,38143960678,283856476,2163803
20151218,3574.94,3614.7,3568.16,3578.96,36538580992,273707904,41812454
20151221,3568.58,3651.06,3565.75,3642.47,39831696179,299849280,16384880
20151222,3645.99,3652.63,3616.87,3651.77,36084603290,261178763,26870472
20151223,3653.28,3684.57,3633.03,3636.09,41990291456,298201801,50921828
20151224,3631.31,3640.22,3572.28,3612.49,31542126182,227785225,45679030
20151225,3614.05,3635.26,3601.74,3627.91,27466004890,198451111,20185907
20151228,3635.77,3641.59,3533.78,3533.78,36904281702,269983278,64815265
20151229,3528.4,3564.17,3515.52,3563.74,25093890048,182551923,14877581
20151230,3566.73,3573.68,3538.11,3572.88,26778766541,187889609,25821916
